timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
352331926,1,0,0,0,0
352533345,1,0,0,0,0
352734735,1,0,0,0,0
352936082,1,0,0,0,0
353135023,1,0,0,0,0
353333909,1,0,0,0,0
353532903,1,0,0,0,0
353731793,1,0,0,0,0
353933187,1,0,0,0,0
354134574,1,0,0,0,0
354335990,1,0,0,0,0
354534893,1,0,0,0,0
354733800,1,0,0,0,0
354932694,1,0,0,0,0
355134126,1,0,0,0,0
355333031,1,0,0,0,0
355534394,1,0,0,0,0
355735805,1,0,0,0,0
355934811,1,0,0,0,0
356133861,1,0,0,0,0
356332731,1,0,0,0,0
356534122,1,0,0,0,0
356733248,1,0,0,0,0
356934545,1,0,0,0,0
357136026,1,0,0,0,0
357334987,1,0,0,0,0
357533903,1,0,0,0,0
357732388,1,0,0,0,0
357933759,1,1,1,0,0
358132682,1,1,1,0,0
358336581,1,1,1,0,0
358535481,1,1,1,0,0
358734438,1,1,1,0,0
358933339,1,1,1,0,0
359132242,1,1,1,0,0
359333672,1,1,1,0,0
359532522,1,1,1,0,0
359736426,1,1,1,0,0
359935348,1,1,1,0,0
360134277,1,1,1,0,0
360333171,1,1,1,0,0
360534523,1,1,1,0,0
360733470,1,1,1,0,0
360932366,1,1,1,0,0
361136272,1,1,1,0,0
361335241,1,1,1,0,0
361534095,1,1,1,0,0
361733023,1,1,1,0,0
361934458,1,1,1,0,0
362133316,1,1,1,0,0
362332202,1,1,1,0,0
362536166,1,1,1,0,0
362732570,1,1,1,0,0
362933921,1,1,1,0,0
363132829,1,1,1,0,0
363331739,0,0,0,0,0
363530617,0,0,0,0,0
363729583,0,0,0,0,0
363933396,0,0,0,0,0
364132358,0,0,0,0,0
364331229,0,0,0,0,0
364535115,0,0,0,0,0
364734078,0,0,0,0,0
364932943,0,0,0,0,0
365131868,0,0,0,0,0
365335757,0,0,0,0,0
365534651,0,0,0,0,0
365733625,0,0,0,0,0
365932480,0,0,0,0,0
366131398,0,0,0,0,0
366330329,0,0,0,0,0
366529351,0,0,0,0,0
366733142,0,0,0,0,0
366932079,0,0,0,0,0
367131078,0,0,0,0,0
367334956,0,0,0,0,0
367533906,0,0,0,0,0
367732930,0,0,0,0,0
367931861,0,0,0,0,0
368135656,0,0,0,0,0
368334657,0,0,0,0,0
368533704,0,0,0,0,0
368732638,0,0,0,0,0
368931099,0,0,0,0,0
369130005,0,0,0,0,0
369328957,0,0,0,0,0
369532796,0,0,0,0,0
369731715,0,0,0,0,0
369935579,0,0,0,0,0
370134558,0,0,0,0,0
370333503,0,0,0,0,0
370532315,0,0,0,0,0
370731286,0,0,0,0,0
370935188,0,0,0,0,0
371134040,0,0,0,0,0
371333002,0,0,0,0,0
371531941,0,0,0,0,0
371730830,0,0,0,0,0
371929634,0,0,0,0,0
372133534,0,0,0,0,0
372332527,0,0,0,0,0
372531426,0,0,0,0,0
372735325,0,0,0,0,0
372934218,0,0,0,0,0
373133067,0,0,0,0,0
373332025,0,0,0,0,0
373530960,0,0,0,0,0
373734879,0,0,0,0,0
373933797,0,0,0,0,0
374132607,0,0,0,0,0
374331530,0,0,0,0,0
374530489,0,0,0,0,0
374729350,0,0,0,0,0
374933291,0,0,0,0,0
375132171,0,0,0,0,0
375336092,0,0,0,0,0
375534969,0,0,0,0,0
375733908,0,0,0,0,0
375932740,0,0,0,0,0
376131686,0,0,0,0,0
376330654,0,0,0,0,0
376534540,0,0,0,0,0
376733437,0,0,0,0,0
376932331,0,0,0,0,0
377131304,0,0,0,0,0
377330163,0,0,0,0,0
377534057,0,0,0,0,0
377732931,0,0,0,0,0
377931828,0,0,0,0,0
378135687,0,0,0,0,0
378334687,0,0,0,0,0
378533624,0,0,0,0,0
378732638,0,0,0,0,0
378931634,0,0,0,0,0
379130627,0,0,0,0,0
379334460,0,0,0,0,0
379533458,0,0,0,0,0
379732402,0,0,0,0,0
379931419,0,0,0,0,0
380130399,0,0,0,0,0
380331447,0,0,0,0,0
380533175,0,0,0,0,0
380731542,0,0,0,0,0
380935439,0,0,0,0,0
381134284,0,0,0,0,0
381333226,0,0,0,0,0
381532208,0,0,0,0,0
381731111,0,0,0,0,0
381930007,0,0,0,0,0
382133913,0,0,0,0,0
382332759,0,0,0,0,0
382531689,0,0,0,0,0
382730596,0,0,0,0,0
382934449,0,0,0,0,0
383133453,0,0,0,0,0
383332272,0,0,0,0,0
383536153,0,0,0,0,0
383735102,0,0,0,0,0
383934056,0,0,0,0,0
384133000,0,0,0,0,0
384331879,0,0,0,0,0
384530817,0,0,0,0,0
384729703,0,0,0,0,0
384933527,0,0,0,0,0
385132506,0,0,0,0,0
385331419,0,0,0,0,0
385530298,0,0,0,0,0
385734143,0,0,0,0,0
385933098,0,0,0,0,0
386131966,0,0,0,0,0
386335933,0,0,0,0,0
386534835,0,0,0,0,0
386733704,0,0,0,0,0
386932591,0,0,0,0,0
387131512,0,0,0,0,0
387330399,0,0,0,0,0
387529315,0,0,0,0,0
387733262,0,0,0,0,0
387932182,0,0,0,0,0
388131011,0,0,0,0,0
388334990,0,0,0,0,0
388533869,0,0,0,0,0
388732761,0,0,0,0,0
388931636,0,0,0,0,0
389130604,0,0,0,0,0
389334463,0,0,0,0,0
389533406,0,0,0,0,0
389732377,0,0,0,0,0
389931346,0,0,0,0,0
390130350,0,0,0,0,0
390329336,0,0,0,0,0
390533162,0,0,0,0,0
390732117,0,0,0,0,0
390931155,0,0,0,0,0
391134981,0,0,0,0,0
391333928,0,0,0,0,0
391532875,0,0,0,0,0
391731308,0,0,0,0,0
391930328,0,0,0,0,0
392134162,0,0,0,0,0
392333029,0,0,0,0,0
392531952,0,0,0,0,0
392730922,0,0,0,0,0
392929823,0,0,0,0,0
393133633,0,0,0,0,0
393332630,0,0,0,0,0
393531557,0,0,0,0,0
393735427,0,0,0,0,0
393934317,0,0,0,0,0
394133218,0,0,0,0,0
394332160,0,0,0,0,0
394531096,0,0,0,0,0
394734967,0,0,0,0,0
394933860,0,0,0,0,0
395132707,0,0,0,0,0
395331649,0,0,0,0,0
395530585,0,0,0,0,0
395729470,0,0,0,0,0
395933315,0,0,0,0,0
396132239,0,0,0,0,0
396336122,0,0,0,0,0
396535042,0,0,0,0,0
396733968,0,0,0,0,0
396932937,0,0,0,0,0
397131785,0,0,0,0,0
397330690,0,0,0,0,0
397534659,0,0,0,0,0
397733555,0,0,0,0,0
397932470,0,0,0,0,0
398131306,0,0,0,0,0
398330271,0,0,0,0,0
398534127,0,0,0,0,0
398732993,0,0,0,0,0
398931938,0,0,0,0,0
399135802,0,0,0,0,0
399334762,0,0,0,0,0
399533688,0,0,0,0,0
399732579,0,0,0,0,0
399931469,0,0,0,0,0
400130404,0,0,0,0,0
400334270,0,0,0,0,0
400533162,0,0,0,0,0
400732103,0,0,0,0,0
400931104,0,0,0,0,0
401130031,0,0,0,0,0
401333951,0,0,0,0,0
401532945,0,0,0,0,0
401731897,0,0,0,0,0
401935688,0,0,0,0,0
402134692,0,0,0,0,0
402333692,0,0,0,0,0
402532631,0,0,0,0,0
402731607,0,0,0,0,0
402930605,0,0,0,0,0
403134477,0,0,0,0,0
403332913,0,0,0,0,0
403534456,0,0,0,0,0
403730727,0,0,0,0,0
403934595,0,0,0,0,0
404133459,0,0,0,0,0
404332438,0,0,0,0,0
404531292,0,0,0,0,0
404735238,0,0,0,0,0
404934147,0,0,0,0,0
405133113,0,0,0,0,0
405331919,0,0,0,0,0
405530824,0,0,0,0,0
405729782,0,0,0,0,0
405933702,0,0,0,0,0
406132541,0,0,0,0,0
406331496,0,0,0,0,0
406530419,0,0,0,0,0
406734291,0,0,0,0,0
406933150,0,0,0,0,0
407132080,0,0,0,0,0
407335941,0,0,0,0,0
407534937,0,0,0,0,0
407733730,0,0,0,0,0
407932683,0,0,0,0,0
408131569,0,0,0,0,0
408330530,0,0,0,0,0
408529490,0,0,0,0,0
408733331,0,0,0,0,0
408932256,0,0,0,0,0
409131195,0,0,0,0,0
409335059,0,0,0,0,0
409533980,0,0,0,0,0
409732867,0,0,0,0,0
409931725,0,0,0,0,0
410135677,0,0,0,0,0
410334611,0,0,0,0,0
410533554,0,0,0,0,0
410732441,0,0,0,0,0
410931267,0,0,0,0,0
411130229,0,0,0,0,0
411329083,0,0,0,0,0
411533041,0,0,0,0,0
411731927,0,0,0,0,0
411930899,0,0,0,0,0
412134714,0,0,0,0,0
412333669,0,0,0,0,0
412532658,0,0,0,0,0
412731607,0,0,0,0,0
412935440,0,0,0,0,0
413134450,0,0,0,0,0
413333421,0,0,0,0,0
413532455,0,0,0,0,0
413731352,0,0,0,0,0
413930362,0,0,0,0,0
414129317,0,0,0,0,0
414333215,0,0,0,0,0
414534557,0,0,0,0,0
414730525,0,0,0,0,0
414934378,0,0,0,0,0
415133291,0,0,0,0,0
415332210,0,0,0,0,0
415531151,0,0,0,0,0
415734988,0,0,0,0,0
415933951,0,0,0,0,0
416132878,0,0,0,0,0
416331744,0,0,0,0,0
416530691,0,0,0,0,0
416729633,0,0,0,0,0
416933409,0,0,0,0,0
417132344,0,0,0,0,0
417331295,0,0,0,0,0
417535174,0,0,0,0,0
417734064,0,0,0,0,0
417932990,0,0,0,0,0
418131848,0,0,0,0,0
418330824,0,0,0,0,0
418534696,0,0,0,0,0
418733572,0,0,0,0,0
418932514,0,0,0,0,0
419131410,0,0,0,0,0
419330324,0,0,0,0,0
419529247,0,0,0,0,0
419733180,0,0,0,0,0
419932094,0,0,0,0,0
420135886,0,0,0,0,0
420334880,0,0,0,0,0
420533792,0,0,0,0,0
420732648,0,0,0,0,0
420931529,0,0,0,0,0
421130465,0,0,0,0,0
421334352,0,0,0,0,0
421533284,0,0,0,0,0
421732174,0,0,0,0,0
421931075,0,0,0,0,0
422130066,0,0,0,0,0
422333844,0,0,0,0,0
422532810,0,0,0,0,0
422736738,0,0,0,0,0
422935612,0,0,0,0,0
423134541,0,0,0,0,0
423333408,0,0,0,0,0
423532392,0,0,0,0,0
423731467,0,0,0,0,0
423930288,0,0,0,0,0
424134202,0,0,0,0,0
424333196,0,0,0,0,0
424532143,0,0,0,0,0
424731133,0,0,0,0,0
424930135,0,0,0,0,0
425133948,0,0,0,0,0
425332932,0,0,0,0,0
425531418,0,0,0,0,0
425735720,0,0,0,0,0
425934194,0,0,0,0,0
426133668,0,0,0,0,0
426332044,0,0,0,0,0
426530918,0,0,0,0,0
426729922,0,0,0,0,0
426933753,0,0,0,0,0
427132687,0,0,0,0,0
427331562,0,0,0,0,0
427530457,0,0,0,0,0
427734406,0,0,0,0,0
427933218,0,0,0,0,0
428132264,0,0,0,0,0
428336105,0,0,0,0,0
428535065,0,0,0,0,0
428733945,0,0,0,0,0
428932873,0,0,0,0,0
429131783,0,0,0,0,0
429330641,0,0,0,0,0
429529472,0,0,0,0,0
429733417,0,0,0,0,0
429932283,0,0,0,0,0
430131242,0,0,0,0,0
430330182,0,0,0,0,0
430534061,0,0,0,0,0
430733009,0,0,0,0,0
430931858,0,0,0,0,0
431135732,0,0,0,0,0
431334627,0,0,0,0,0
431533521,0,0,0,0,0
431732490,0,0,0,0,0
431931397,0,0,0,0,0
432130289,0,0,0,0,0
432329194,0,0,0,0,0
432533111,0,0,0,0,0
432731988,0,0,0,0,0
432930910,0,0,0,0,0
433134789,0,0,0,0,0
433333769,0,0,0,0,0
433532665,0,0,0,0,0
433731551,0,0,0,0,0
433930446,0,0,0,0,0
434134321,0,0,0,0,0
434333272,0,0,0,0,0
434532150,0,0,0,0,0
434731119,0,0,0,0,0
434930102,0,0,0,0,0
435129064,0,0,0,0,0
435332904,0,0,0,0,0
435531877,0,0,0,0,0
435730903,0,0,0,0,0
435934738,0,0,0,0,0
436133702,0,0,0,0,0
436332633,0,0,0,0,0
436531755,0,0,0,0,0
436735433,0,0,0,0,0
436934441,0,0,0,0,0
437132910,0,0,0,0,0
437331810,0,0,0,0,0
437530792,0,0,0,0,0
437729713,0,0,0,0,0
437933569,0,0,0,0,0
438132431,0,0,0,0,0
438331373,0,0,0,0,0
438535297,0,0,0,0,0
438734180,0,0,0,0,0
438933115,0,0,0,0,0
439131996,0,0,0,0,0
439330897,0,0,0,0,0
439534865,0,0,0,0,0
439733655,0,0,0,0,0
439932579,0,0,0,0,0
440131542,0,0,0,0,0
440330386,0,0,0,0,0
440534342,0,0,0,0,0
440733217,0,0,0,0,0
440932212,0,0,0,0,0
441136061,0,0,0,0,0
441334929,0,0,0,0,0
441533873,0,0,0,0,0
441732748,0,0,0,0,0
441931692,0,0,0,0,0
442130623,0,0,0,0,0
442334408,0,0,0,0,0
442533421,0,0,0,0,0
442732287,0,0,0,0,0
442931289,0,0,0,0,0
443130173,0,0,0,0,0
443333992,0,0,0,0,0
443532924,0,0,0,0,0
443736738,0,0,0,0,0
443935722,0,0,0,0,0
444134624,0,0,0,0,0
444333498,0,0,0,0,0
444532452,0,0,0,0,0
444731340,0,0,0,0,0
444930292,0,0,0,0,0
445134189,0,0,0,0,0
445333105,0,0,0,0,0
445532041,0,0,0,0,0
445730916,0,0,0,0,0
445929837,0,0,0,0,0
446133684,0,0,0,0,0
446332698,0,0,0,0,0
446536447,0,0,0,0,0
446735430,0,0,0,0,0
446934450,0,0,0,0,0
447133444,0,0,0,0,0
447332379,0,0,0,0,0
447531382,0,0,0,0,0
447730381,0,0,0,0,0
447934196,0,0,0,0,0
448133150,0,0,0,0,0
448332110,0,0,0,0,0
448530553,0,0,0,0,0
448729523,0,0,0,0,0
448933306,0,0,0,0,0
449132324,0,0,0,0,0
449336126,0,0,0,0,0
449535045,0,0,0,0,0
449734030,0,0,0,0,0
449932881,0,0,0,0,0
450131833,0,0,0,0,0
450330667,0,0,0,0,0
450529564,0,0,0,0,0
450733556,0,0,0,0,0
450932424,0,0,0,0,0
451131336,0,0,0,0,0
451330217,0,0,0,0,0
451534207,0,0,0,0,0
451733072,0,0,0,0,0
451931930,0,0,0,0,0
452135822,0,0,0,0,0
452334821,0,0,0,0,0
452533661,0,0,0,0,0
452732567,0,0,0,0,0
452931440,0,0,0,0,0
453130350,0,0,0,0,0
453329335,0,0,0,0,0
453533234,0,0,0,0,0
453732126,0,0,0,0,0
453931037,0,0,0,0,0
454134932,0,0,0,0,0
454333848,0,0,0,0,0
454532702,0,0,0,0,0
454731631,0,0,0,0,0
454935551,0,0,0,0,0
455134455,0,0,0,0,0
455333317,0,0,0,0,0
455532217,0,0,0,0,0
455731178,0,0,0,0,0
455930065,0,0,0,0,0
456129023,0,0,0,0,0
456332878,0,0,0,0,0
456531844,0,0,0,0,0
456730701,0,0,0,0,0
456934612,0,0,0,0,0
457133496,0,0,0,0,0
457332349,0,0,0,0,0
457531321,0,0,0,0,0
457730320,0,0,0,0,0
457934156,0,0,0,0,0
458133123,0,0,0,0,0
458332132,0,0,0,0,0
458531129,0,0,0,0,0
458730091,0,0,0,0,0
458929068,0,0,0,0,0
459132918,0,0,0,0,0
459331885,0,0,0,0,0
459530843,0,0,0,0,0
459734745,0,0,0,0,0
459933784,0,0,0,0,0
460132026,0,0,0,0,0
460331025,0,0,0,0,0
460529937,0,0,0,0,0
460733781,0,0,0,0,0
460932682,0,0,0,0,0
461131632,0,0,0,0,0
461330514,0,0,0,0,0
461529463,0,0,0,0,0
461733335,0,0,0,0,0
461932191,0,0,0,0,0
462136089,0,0,0,0,0
462335007,0,0,0,0,0
462533919,0,0,0,0,0
462732805,0,0,0,0,0
462931811,0,0,0,0,0
463130743,0,0,0,0,0
463334589,0,0,0,0,0
463533446,0,0,0,0,0
463732406,0,0,0,0,0
463931297,0,0,0,0,0
464130185,0,0,0,0,0
464334068,0,0,0,0,0
464532974,0,0,0,0,0
464731915,0,0,0,0,0
464935797,0,0,0,0,0
465134701,0,0,0,0,0
465333646,0,0,0,0,0
465532580,0,0,0,0,0
465731448,0,0,0,0,0
465930357,0,0,0,0,0
466134239,0,0,0,0,0
466333187,0,0,0,0,0
466532083,0,0,0,0,0
466731010,0,0,0,0,0
466929955,0,0,0,0,0
467133792,0,0,0,0,0
467332656,0,0,0,0,0
467536599,0,0,0,0,0
467735455,0,0,0,0,0
467934416,0,0,0,0,0
468133355,0,0,0,0,0
468332231,0,0,0,0,0
468531180,0,0,0,0,0
468730027,0,0,0,0,0
468933930,0,0,0,0,0
469132918,0,0,0,0,0
469331835,0,0,0,0,0
469530822,0,0,0,0,0
469734757,0,0,0,0,0
469933673,0,0,0,0,0
470132665,0,0,0,0,0
470336554,0,0,0,0,0
470535464,0,0,0,0,0
470734473,0,0,0,0,0
470933461,0,0,0,0,0
471131908,0,0,0,0,0
471330785,0,0,0,0,0
471529712,0,0,0,0,0
471733583,0,0,0,0,0
471932524,0,0,0,0,0
472131452,0,0,0,0,0
472330356,0,0,0,0,0
472534192,0,0,0,0,0
472733170,0,0,0,0,0
472932051,0,0,0,0,0
473135955,0,0,0,0,0
473334859,0,0,0,0,0
473533724,0,0,0,0,0
473732601,0,0,0,0,0
473931516,0,0,0,0,0
474130445,0,0,0,0,0
474329464,0,0,0,0,0
474533321,0,0,0,0,0
474732206,0,0,0,0,0
474931123,0,0,0,0,0
475135021,0,0,0,0,0
475333908,0,0,0,0,0
475532849,0,0,0,0,0
475731718,0,0,0,0,0
475930603,0,0,0,0,0
476134508,0,0,0,0,0
476333466,0,0,0,0,0
476532385,0,0,0,0,0
476731221,0,0,0,0,0
476930158,0,0,0,0,0
477129053,0,0,0,0,0
477332897,0,0,0,0,0
477531862,0,0,0,0,0
477730758,0,0,0,0,0
477934664,0,0,0,0,0
478133571,0,0,0,0,0
478332495,0,0,0,0,0
478531391,0,0,0,0,0
478735336,0,0,0,0,0
478934258,0,0,0,0,0
479133133,0,0,0,0,0
479332010,0,0,0,0,0
479530914,0,0,0,0,0
479729829,0,0,0,0,0
479928836,0,0,0,0,0
480132625,0,0,0,0,0
480331618,0,0,0,0,0
480535434,0,0,0,0,0
480734476,0,0,0,0,0
480933397,0,0,0,0,0
481132409,0,0,0,0,0
481331345,0,0,0,0,0
481530298,0,0,0,0,0
481734246,0,0,0,0,0
481933164,0,0,0,0,0
482132160,0,0,0,0,0
482331176,0,0,0,0,0
482529546,0,0,0,0,0
482728417,0,0,0,0,0
482932277,0,0,0,0,0
483131281,0,0,0,0,0
483335136,0,0,0,0,0
483534092,0,0,0,0,0
483732983,0,0,0,0,0
483931874,0,0,0,0,0
484130717,0,0,0,0,0
484334614,0,0,0,0,0
484533544,0,0,0,0,0
484732478,0,0,0,0,0
484931376,0,0,0,0,0
485130315,0,0,0,0,0
485334133,0,0,0,0,0
485533058,0,0,0,0,0
485731979,0,0,0,0,0
485935908,0,0,0,0,0
486134780,0,0,0,0,0
486333748,0,0,0,0,0
486532608,0,0,0,0,0
486731482,0,0,0,0,0
486930396,0,0,0,0,0
487134300,0,0,0,0,0
487333265,0,0,0,0,0
487532155,0,0,0,0,0
487731025,0,0,0,0,0
487930004,0,0,0,0,0
488133883,0,0,0,0,0
488332798,0,0,0,0,0
488531663,0,0,0,0,0
488735587,0,0,0,0,0
488934458,0,0,0,0,0
489133450,0,0,0,0,0
489332328,0,0,0,0,0
489531181,0,0,0,0,0
489730185,0,0,0,0,0
489934047,0,0,0,0,0
490132956,0,0,0,0,0
490331859,0,0,0,0,0
490530683,0,0,0,0,0
490729654,0,0,0,0,0
490933536,0,0,0,0,0
491132491,0,0,0,0,0
491336349,0,0,0,0,0
491535246,0,0,0,0,0
491734187,0,0,0,0,0
491933108,0,0,0,0,0
492132133,0,0,0,0,0
492331090,0,0,0,0,0
492530093,0,0,0,0,0
492733991,0,0,0,0,0
492932926,0,0,0,0,0
493131901,0,0,0,0,0
493328089,0,0,0,0,0
493534735,0,0,0,0,0
493733687,0,0,0,0,0
493932073,0,0,0,0,0
494136565,0,0,0,0,0
494329993,0,0,0,0,0
494533857,0,0,0,0,0
494732755,0,0,0,0,0
494931631,0,0,0,0,0
495130581,0,0,0,0,0
495329501,0,0,0,0,0
495533316,0,0,0,0,0
495732271,0,0,0,0,0
495931218,0,0,0,0,0
496135038,0,0,0,0,0
496333995,0,0,0,0,0
496532887,0,0,0,0,0
496731882,0,0,0,0,0
496935668,0,0,0,0,0
497134593,0,0,0,0,0
497333529,0,0,0,0,0
497532414,0,0,0,0,0
497731337,0,0,0,0,0
497930286,0,0,0,0,0
498129207,0,0,0,0,0
498333030,0,0,0,0,0
498531959,0,0,0,0,0
498730920,0,0,0,0,0
498934767,0,0,0,0,0
499133730,0,0,0,0,0
499332549,0,0,0,0,0
499531463,0,0,0,0,0
499730386,0,0,0,0,0
499934350,0,0,0,0,0
500133193,0,0,0,0,0
500332103,0,0,0,0,0
500531036,0,0,0,0,0
500730013,0,0,0,0,0
500928945,0,0,0,0,0
501132711,0,0,0,0,0
501331640,0,0,0,0,0
501535485,0,0,0,0,0
501734447,0,0,0,0,0
501933325,0,0,0,0,0
502132285,0,0,0,0,0
502331145,0,0,0,0,0
502535051,0,0,0,0,0
502733979,0,0,0,0,0
502932888,0,0,0,0,0
503131880,0,0,0,0,0
503330837,0,0,0,0,0
503529817,0,0,0,0,0
503728798,0,0,0,0,0
503932731,0,0,0,0,0
504131633,0,0,0,0,0
504335440,0,0,0,0,0
504534393,0,0,0,0,0
504733397,0,0,0,0,0
504932482,0,0,0,0,0
505131299,0,0,0,0,0
505335258,0,0,0,0,0
505534284,0,0,0,0,0
505732576,0,0,0,0,0
505931451,0,0,0,0,0
506130387,0,0,0,0,0
506329291,0,0,0,0,0
506533263,0,0,0,0,0
506732065,0,0,0,0,0
506936016,0,0,0,0,0
507134949,0,0,0,0,0
507333837,0,0,0,0,0
507532767,0,0,0,0,0
507731631,0,0,0,0,0
507930566,0,0,0,0,0
508134357,0,0,0,0,0
508333351,0,0,0,0,0
508532236,0,0,0,0,0
508731206,0,0,0,0,0
508930065,0,0,0,0,0
509133941,0,0,0,0,0
509332868,0,0,0,0,0
509531846,0,0,0,0,0
509735656,0,0,0,0,0
509934561,0,0,0,0,0
510133532,0,0,0,0,0
510332447,0,0,0,0,0
510531315,0,0,0,0,0
510730255,0,0,0,0,0
510934176,0,0,0,0,0
511133054,0,0,0,0,0
511331913,0,0,0,0,0
511530837,0,0,0,0,0
511734764,0,0,0,0,0
511933642,0,0,0,0,0
512132542,0,0,0,0,0
512336418,0,0,0,0,0
512535324,0,0,0,0,0
512734289,0,0,0,0,0
512933273,0,0,0,0,0
513132061,0,0,0,0,0
513331030,0,0,0,0,0
513529893,0,0,0,0,0
513733759,0,0,0,0,0
513932680,0,0,0,0,0
514131684,0,0,0,0,0
514330583,0,0,0,0,0
514534442,0,0,0,0,0
514733369,0,0,0,0,0
514932381,0,0,0,0,0
515136229,0,0,0,0,0
515335159,0,0,0,0,0
515534200,0,0,0,0,0
515733189,0,0,0,0,0
515932157,0,0,0,0,0
516131105,0,0,0,0,0
516329590,0,0,0,0,0
516533939,0,0,0,0,0
516732357,0,0,0,0,0
516931275,0,0,0,0,0
517135149,0,0,0,0,0
517334056,0,0,0,0,0
517532963,0,0,0,0,0
517731962,0,0,0,0,0
517935740,0,0,0,0,0
518134696,0,0,0,0,0
518333642,0,0,0,0,0
518532527,0,0,0,0,0
518731452,0,0,0,0,0
518930357,0,0,0,0,0
519129293,0,0,0,0,0
519333132,0,0,0,0,0
519532045,0,0,0,0,0
519730973,0,0,0,0,0
519934824,0,0,0,0,0
520133839,0,0,0,0,0
520332716,0,0,0,0,0
520531581,0,0,0,0,0
520735540,0,0,0,0,0
520934400,0,0,0,0,0
521133335,0,0,0,0,0
521332196,0,0,0,0,0
521531067,0,0,0,0,0
521730031,0,0,0,0,0
521928984,0,0,0,0,0
522132777,0,0,0,0,0
522331690,0,0,0,0,0
522535632,0,0,0,0,0
522734500,0,0,0,0,0
522933444,0,0,0,0,0
523132375,0,0,0,0,0
523331287,0,0,0,0,0
523530273,0,0,0,0,0
523734038,0,0,0,0,0
523932953,0,0,0,0,0
524131919,0,0,0,0,0
524330789,0,0,0,0,0
524529752,0,0,0,0,0
524733628,0,0,0,0,0
524932522,0,0,0,0,0
525131494,0,0,0,0,0
525335311,0,0,0,0,0
525534250,0,0,0,0,0
525733182,0,0,0,0,0
525932151,0,0,0,0,0
526131122,0,0,0,0,0
526334945,0,0,0,0,0
526533901,0,0,0,0,0
526732858,0,0,0,0,0
526931920,0,0,0,0,0
527130882,0,0,0,0,0
527329796,0,0,0,0,0
527533640,0,0,0,0,0
527732701,0,0,0,0,0
527931657,0,0,0,0,0
528135466,0,0,0,0,0
528333964,0,0,0,0,0
528532816,0,0,0,0,0
528731773,0,0,0,0,0
528930607,0,0,0,0,0
529134531,0,0,0,0,0
529333450,0,0,0,0,0
529532406,0,0,0,0,0
529731255,0,0,0,0,0
529930167,0,0,0,0,0
530133987,0,0,0,0,0
530333025,0,0,0,0,0
530531910,0,0,0,0,0
530735788,0,0,0,0,0
530934747,0,0,0,0,0
531133606,0,0,0,0,0
531332541,0,0,0,0,0
531531419,0,0,0,0,0
531730355,0,0,0,0,0
531934226,0,0,0,0,0
532133116,0,0,0,0,0
532332027,0,0,0,0,0
532530929,0,0,0,0,0
532729896,0,0,0,0,0
532933820,0,0,0,0,0
533132640,0,0,0,0,0
